Date,Open,High,Low,Close,Adj Close,Volume,Month,Weekday
16-03-17,140.720001,141.020004,140.259995,140.690002,139.06369,19232000,Mar,Thursday
17-03-17,141,141,139.889999,139.990005,138.37178,43885000,Mar,Friday
20-03-17,140.399994,141.5,140.229996,141.460007,139.824799,21542000,Mar,Monday
21-03-17,142.110001,142.800003,139.729996,139.839996,138.223511,39529900,Mar,Tuesday
22-03-17,139.850006,141.600006,139.759995,141.419998,139.785248,25860200,Mar,Wednesday
23-03-17,141.259995,141.580002,140.610001,140.919998,139.291031,20346300,Mar,Thursday
24-03-17,141.5,141.740005,140.350006,140.639999,139.014267,22395600,Mar,Friday
27-03-17,139.389999,141.220001,138.619995,140.880005,139.251511,23575100,Mar,Monday
28-03-17,140.910004,144.039993,140.619995,143.800003,142.137741,33374800,Mar,Tuesday
29-03-17,143.679993,144.490005,143.190002,144.119995,142.454041,29190000,Mar,Wednesday
30-03-17,144.190002,144.5,143.5,143.929993,142.266235,21207300,Mar,Thursday
31-03-17,143.720001,144.270004,143.009995,143.660004,141.999374,19661700,Mar,Friday
03-04-17,143.710007,144.119995,143.050003,143.699997,142.03891,19985700,Apr,Monday
04-04-17,143.25,144.889999,143.169998,144.770004,143.096542,19891400,Apr,Tuesday
05-04-17,144.220001,145.460007,143.809998,144.020004,142.355209,27717900,Apr,Wednesday
06-04-17,144.289993,144.520004,143.449997,143.660004,141.999374,21149000,Apr,Thursday
07-04-17,143.729996,144.179993,143.270004,143.339996,141.68306,16672200,Apr,Friday
10-04-17,143.600006,143.880005,142.899994,143.169998,141.51503,18933400,Apr,Monday
11-04-17,142.940002,143.350006,140.059998,141.630005,139.992844,30379400,Apr,Tuesday
12-04-17,141.600006,142.149994,141.009995,141.800003,140.160873,20350000,Apr,Wednesday
13-04-17,141.910004,142.380005,141.050003,141.050003,139.41954,17822900,Apr,Thursday
17-04-17,141.479996,141.880005,140.869995,141.830002,140.190521,16582100,Apr,Monday
